domain	type	id	path	tags	title
general	other	sot-hivefiver-mcp-setup-tavily	docs/research/hivefiver-mcp-setup-tavily.md		HiveFiver MCP Setup - Tavily
general	other	sot-doctor-recovery-runbook	docs/doctor-recovery-runbook.md		Doctor Recovery Runbook
general	other	sot-opencode-full-sdk-mechanism	docs/opencode-full-sdk-mechanism.md		DeepWiki Q&A with Code Context for Repository: anomalyco/opencode
general	other	sot-10-commandments	docs/10-commandments.md		The 10 Commandments for Writing AI Agent Tools
general	synthesis	sot-opencode-knowledge-synthesis-map	docs/OPENCODE-KNOWLEDGE-SYNTHESIS-MAP.md		OPENCODE-KNOWLEDGE-SYNTHESIS-MAP.md
general	other	sot-pitfalls	docs/PITFALLS.md		HiveMind Context Governance — PITFALLS
general	other	sot-kilo-cli-usage	docs/kilo-cli-usage.md		Kilo CLI Setup and Usage
general	other	sot-opencode-sdk-debug-integration-2026-02-17	docs/OPENCODE-SDK-DEBUG-INTEGRATION-2026-02-17.md		OpenCode SDK Debug Integration - Deep Dive Guide
general	other	sot-opencode-primary-coordinator-agent	docs/OPENCODE-PRIMARY-COORDINATOR-AGENT.md		OPENCODE-PRIMARY-COORDINATOR-AGENT.md
general	other	sot-omad-01-opencode-automation-directive-2026-02-17	docs/OMAD-01-OPENCODE-AUTOMATION-DIRECTIVE-2026-02-17.md		OpenCode Automation & HiveMind Paradigm — Master Directive (OMAD-01)
general	other	sot-chain-bridge-architecture	docs/CHAIN-BRIDGE-ARCHITECTURE.md		Chain & Bridge Architecture Specification
general	other	sot-opencode-meta-builder-module	docs/OPENCODE-META-BUILDER-MODULE.md		OpenCode: Meta-Builder Agent Orchestration — A Deep Architectural Analysis
general	plan	sot-2026-02-19-hivefiver-phase-8-hardening	docs/plans/2026-02-19-hivefiver-phase-8-hardening.md		HiveFiver Phase 8 - Robustness and Fine-Tuning
general	plan	sot-2026-02-25-phase0-hard-governance-foundation	docs/plans/2026-02-25-phase0-hard-governance-foundation.md		Phase 0: Hard Governance Foundation
general	plan	sot-architecture-audit-2026-02-18	docs/plans/ARCHITECTURE-AUDIT-2026-02-18.md		Architecture Audit Report - HiveMind v3.0
general	plan	sot-prd-opentui-dashboard-2026-02-26	docs/plans/PRD-OpenTUI-Dashboard-2026-02-26.md		PRD: OpenTUI Dashboard & OpenCode SDK Integration
general	plan	sot-2026-02-19-hivefiver-v2-mcp-playbooks	docs/plans/2026-02-19-hivefiver-v2-mcp-playbooks.md		HiveFiver v2 MCP Playbooks - Implementation Artifact
general	plan	sot-2026-02-20-code-intelligence-engine-execution-plan	docs/plans/2026-02-20-code-intelligence-engine-execution-plan.md		Code Intelligence Engine Execution Plan
general	plan	sot-dashboard-v2-phase8-w2-4-mouse-path-declaration-2026-02-26	docs/plans/dashboard-v2-phase8-w2-4-mouse-path-declaration-2026-02-26.md		Dashboard-v2 Phase 8 W2.4 Mouse Path Declaration
general	plan	sot-hivefiver-qa-discovery-expansion-plan-2026-03-01	docs/plans/hivefiver-qa-discovery-expansion-plan-2026-03-01.md		HiveFiver QA Discovery Expansion Plan
general	plan	sot-dashboard-v2-phase8-restructuring-adjustment-2026-02-26	docs/plans/dashboard-v2-phase8-restructuring-adjustment-2026-02-26.md		Dashboard-v2 Phase 8 Restructuring Adjustment
R1	plan	sot-2026-03-02-gx-pack-r1-prd	docs/plans/2026-03-02-gx-pack-R1-prd.json		2026-03-02-gx-pack-R1-prd.json
general	plan	sot-dashboard-v2-phase8-w0-1-execution-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w0-1-execution-packet-2026-02-26.md		Dashboard-v2 Phase 8 W0.1 Execution Packet
general	plan	sot-prd-v2-hivemind-engine-2026-02-18	docs/plans/PRD-V2-HIVEMIND-ENGINE-2026-02-18.md		PRD v2: HiveMind v3.0 — Relational Cognitive Engine
general	plan	sot-2026-02-20-hivefiver-autonomy-systemization-roadmap	docs/plans/2026-02-20-hivefiver-autonomy-systemization-roadmap.md		HiveFiver Autonomy Systemization Roadmap
general	plan	sot-dashboard-v2-comprehensive-inventory-2026-02-26	docs/plans/dashboard-v2-comprehensive-inventory-2026-02-26.md		Dashboard-v2 Comprehensive Inventory & Phase Plan
general	plan	sot-execution-blueprint-2026-02-16	docs/plans/archive/execution-blueprint-2026-02-16.md		HiveMind v3.0 — Two-Team Execution Blueprint
general	plan	sot-file-level-execution-blueprint-2026-02-16	docs/plans/archive/file-level-execution-blueprint-2026-02-16.md		File-Level Execution Blueprint - HiveMind v3 - 2026-02-16
general	plan	sot-master-execution-plan-local-jules-2026-02-16	docs/plans/archive/master-execution-plan-local-jules-2026-02-16.md		Master Execution Plan - LOCAL + JULES - 2026-02-16
general	plan	sot-2026-02-14-comprehensive-master-plan-v2	docs/plans/archive/2026-02-14-COMPREHENSIVE-MASTER-PLAN-v2.md		COMPREHENSIVE MASTER PLAN: HiveMind v3 Remediation
general	plan	sot-prd-consolidated-2026-02-18	docs/plans/archive/PRD-CONSOLIDATED-2026-02-18.md		PRD: HiveMind v3.0 — Relational Cognitive Engine (Consolidated)
general	plan	sot-phase-a-b-audit-2026-02-15	docs/plans/archive/PHASE-A-B-AUDIT-2026-02-15.md		Phase A/B Comprehensive Audit Report
general	plan	sot-2026-02-14-strategic-plan-v3-remediation	docs/plans/archive/2026-02-14-strategic-plan-v3-remediation.md		Strategic Plan: HiveMind v3 — Root Cause Analysis & System-Wide Remediation
general	plan	sot-2026-02-14-master-plan-consolidated	docs/plans/archive/2026-02-14-MASTER-PLAN-CONSOLIDATED.md		HiveMind Master Plan — Consolidated v3.0
R1	plan	sot-2026-02-15-phase-b-implementation-plan	docs/plans/archive/2026-02-15-phase-b-implementation-plan.md		Phase B: Session Lifecycle & Task Governance Implementation Plan
general	plan	sot-phase-b-status-2026-02-15	docs/plans/archive/PHASE-B-STATUS-2026-02-15.md		Phase B Implementation Status Report
general	plan	sot-prd-hivemind-v3-roadmap-2026-02-18	docs/plans/archive/prd-hivemind-v3-roadmap-2026-02-18.md		PRD: HiveMind v3.0 — Relational Cognitive Engine
general	plan	sot-2026-02-13-pr3-integration-remediation-plan	docs/plans/archive/2026-02-13-pr3-integration-remediation-plan.md		PR #3 Integration Remediation Plan
general	plan	sot-prd-hivemind-v3-relational-engine-2026-02-16	docs/plans/archive/prd-hivemind-v3-relational-engine-2026-02-16.md		PRD: HiveMind v3.0 — Relational Cognitive Engine
general	plan	sot-dashboard-v2-phase8-w3-3-time-travel-contract-2026-02-26	docs/plans/dashboard-v2-phase8-w3-3-time-travel-contract-2026-02-26.md		Dashboard-v2 Phase 8 W3.3 TimeTravel Surface Contract
general	plan	sot-2026-03-03-meta03-cycle1-hook-enhancement	docs/plans/2026-03-03-meta03-cycle1-hook-enhancement.md		META03 Cycle 1 — Governance Plugin Hook Enhancement Plan
general	plan	sot-execution-phase7-code-intel-surgeon-2026-02-26	docs/plans/EXECUTION-PHASE7-CODE-INTEL-SURGEON-2026-02-26.md		Phase 7 Execution Plan v1.1: Code-Intel Surgeon Engine
general	plan	sot-2026-02-19-hivefiver-v2-meta-builder-master	docs/plans/2026-02-19-hivefiver-v2-meta-builder-master.md		HiveFiver v2 Meta Builder - Master Plan
R1	plan	sot-spec-gx-pack-context-engine-2026-03-02	docs/plans/SPEC-GX-PACK-CONTEXT-ENGINE-2026-03-02.md		SPEC: GX-Pack — Context Engineering Module
general	plan	sot-2026-02-19-hivefiver-v2-skills	docs/plans/2026-02-19-hivefiver-v2-skills.md		HiveFiver v2 Skills - Implementation Artifact
R3	plan	sot-2026-02-24-knot-1-context-constitution-phase-plan	docs/plans/2026-02-24-knot-1-context-constitution-phase-plan.md		Knot 1 Phase Plan: Context Constitution
general	plan	sot-2026-02-19-hivefiver-v2-src-integration	docs/plans/2026-02-19-hivefiver-v2-src-integration.md		HiveFiver v2 Source Integration - Implementation Artifact
general	plan	sot-2026-02-19-hivefiver-executive-summary	docs/plans/2026-02-19-hivefiver-executive-summary.md		HiveFiver Executive Summary (Main Team Handoff)
general	plan	sot-2026-02-28-wave-2c-deep-execution-plan	docs/plans/2026-02-28-wave-2c-deep-execution-plan.md		Deep Wave 2C: Auto-Session Foundation — Execution Plan
general	plan	sot-2026-02-19-hivefiver-phase-7-verification	docs/plans/2026-02-19-hivefiver-phase-7-verification.md		HiveFiver Phase 7 - Verification Report (Updated)
R4	plan	sot-dashboard-v2-phase8-w3-5-gate-adjudication-2026-02-26	docs/plans/dashboard-v2-phase8-w3-5-gate-adjudication-2026-02-26.md		Dashboard-v2 Phase 8 W3.5 Gate Adjudication
general	plan	sot-opentui-corporate-ux-spec-2026-02-26	docs/plans/opentui-corporate-ux-spec-2026-02-26.md		OpenTUI Corporate UX Specification (Phase 7)
general	plan	sot-2026-02-19-hivefiver-v2-production-audit	docs/plans/2026-02-19-hivefiver-v2-production-audit.md		HiveFiver v2 Production Audit - Final Iteration
general	plan	sot-2026-02-19-code-intelligence-engine-architecture	docs/plans/2026-02-19-code-intelligence-engine-architecture.md		Architecture Planning: Native Code Intelligence Engine
general	plan	sot-2026-02-20-hivefiver-architect-floppy-blueprint	docs/plans/2026-02-20-hivefiver-architect-floppy-blueprint.md		HiveFiver Architect Blueprint (floppy_engineer)
general	plan	sot-2026-02-19-hivefiver-phase-2-commands	docs/plans/2026-02-19-hivefiver-phase-2-commands.md		HiveFiver Phase 2 - Command Suite (Hardened)
R2	plan	sot-2026-03-02-gx-pack-r2-fix-state-persistence-plan	docs/plans/2026-03-02-gx-pack-R2-fix-state-persistence-plan.md		R2: Fix State Persistence — Implementation Plan
R1	plan	sot-2026-03-02-gx-pack-r1-fix-measurement-plan	docs/plans/2026-03-02-gx-pack-R1-fix-measurement-plan.md		R1: Fix Measurement — Implementation Plan
general	plan	sot-2026-02-27-hybrid-ab-master-plan	docs/plans/2026-02-27-hybrid-ab-master-plan.md		HYBRID-A+B Master Plan: Stabilize Context First, Then Extend Capability
general	plan	sot-dashboard-v2-phase8-orchestration-loop-2026-02-26	docs/plans/dashboard-v2-phase8-orchestration-loop-2026-02-26.md		Dashboard-v2 Phase 8 Orchestration Loop (System-Wide)
general	plan	sot-dashboard-v2-phase8-w1-execution-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w1-execution-packet-2026-02-26.md		Dashboard-v2 Phase 8 W1 Execution Packet
general	plan	sot-hivefiver-v2-phase-plan-2026-03-01	docs/plans/hivefiver-v2-phase-plan-2026-03-01.md		HiveFiver V2 Meta-Builder Module — Phase-Implementation Planning Artifact (Revised)
general	plan	sot-2026-02-19-hivefiver-phase-5-mcp	docs/plans/2026-02-19-hivefiver-phase-5-mcp.md		HiveFiver Phase 5 - MCP Integration and Setup (Hardened)
general	plan	sot-2026-02-19-hivefiver-master-spec	docs/plans/2026-02-19-hivefiver-master-spec.md		HiveFiver v1 Master Spec
general	plan	sot-2026-03-03-meta03-cycle0-governance-canonicalization	docs/plans/2026-03-03-meta03-cycle0-governance-canonicalization.md		META03 Cycle 0 — Governance Canonicalization Execution Plan
general	plan	sot-prd-phase7-code-intel-surgeon-engine-2026-02-26	docs/plans/PRD-PHASE7-CODE-INTEL-SURGEON-ENGINE-2026-02-26.md		Phase 7: Code-Intel Surgeon Engine PRD
general	plan	sot-dashboard-v2-phase8-w3-implementation-kickoff-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w3-implementation-kickoff-packet-2026-02-26.md		Dashboard-v2 Phase 8 W3 Implementation Kickoff Packet
general	plan	sot-2026-02-19-hivefiver-phase-1-architecture	docs/plans/2026-02-19-hivefiver-phase-1-architecture.md		HiveFiver Phase 1 - Architecture Contract
general	plan	sot-2026-03-02-gx-pack-certified-requirements	docs/plans/2026-03-02-gx-pack-certified-requirements.md		GX-Pack Remediation — Certified Requirements Registry
general	plan	sot-2026-02-19-hivefiver-phase-0-normalization	docs/plans/2026-02-19-hivefiver-phase-0-normalization.md		HiveFiver Phase 0 - Source Normalization
general	plan	sot-2026-02-19-hivefiver-v2-inventory	docs/plans/2026-02-19-hivefiver-v2-inventory.md		HiveFiver v2 Inventory
general	plan	sot-2026-03-02-hiveops-tdd-plan	docs/plans/2026-03-02-hiveops-tdd-plan.md		HiveOps Framework Tools — TDD Implementation Plan
general	plan	sot-2026-02-19-hivefiver-v2-commands	docs/plans/2026-02-19-hivefiver-v2-commands.md		HiveFiver v2 Commands - Implementation Artifact
R3	plan	sot-2026-03-02-d7-context-injection-remediation-plan	docs/plans/2026-03-02-d7-context-injection-remediation-plan.md		D7 Context Injection Remediation — Implementation Plan
general	plan	sot-2026-03-01-hivefiver-deterministic-chain	docs/plans/2026-03-01-hivefiver-deterministic-chain.md		HiveFiver Deterministic Chain Completion — Implementation Plan
general	plan	sot-dashboard-v2-phase8-w3-2-tool-registry-contract-2026-02-26	docs/plans/dashboard-v2-phase8-w3-2-tool-registry-contract-2026-02-26.md		Dashboard-v2 Phase 8 W3.2 ToolRegistry Surface Contract
general	plan	sot-dashboard-v2-overhaul-plan-2026-02-26	docs/plans/dashboard-v2-overhaul-plan-2026-02-26.md		Dashboard-v2 Complete Overhaul Plan
general	plan	sot-dashboard-v2-phase8-w3-1-swarm-contract-2026-02-26	docs/plans/dashboard-v2-phase8-w3-1-swarm-contract-2026-02-26.md		Dashboard-v2 Phase 8 W3.1 Swarm Surface Contract
general	plan	sot-2026-02-19-hivefiver-final-audit-inventory	docs/plans/2026-02-19-hivefiver-final-audit-inventory.md		HiveFiver Final Audit and Inventory
general	plan	sot-2026-02-19-entity-relationship-remediation	docs/plans/2026-02-19-entity-relationship-remediation.md		Unified Master Architecture Plan: Entity Relationships, Automation, and GSD Lifecycle
general	plan	sot-dashboard-v2-phase8-w2-execution-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w2-execution-packet-2026-02-26.md		Dashboard-v2 Phase 8 W2 Execution Packet
R7	plan	sot-2026-02-23-grand-sot-audit-report	docs/plans/2026-02-23-grand-sot-audit-report.md		HiveMind Framework — Grand SOT Audit Report
general	plan	sot-dashboard-v2-phase8-w1-delta-retune-2026-02-26	docs/plans/dashboard-v2-phase8-w1-delta-retune-2026-02-26.md		Dashboard-v2 Phase 8 W1.delta Retune Packet
general	plan	sot-2026-02-24-v29-systematic-execution-plan	docs/plans/2026-02-24-v29-systematic-execution-plan.md		HiveMind v2.9 Systematic Execution Plan
general	plan	sot-2026-02-24-hiveplanner-architecture	docs/plans/2026-02-24-hiveplanner-architecture.md		HivePlanner Architecture Design
R2	plan	sot-2026-02-19-hivefiver-v2-workflows	docs/plans/2026-02-19-hivefiver-v2-workflows.md		HiveFiver v2 Workflows - Implementation Artifact
general	plan	sot-2026-02-24-knot-1-closeout	docs/plans/2026-02-24-knot-1-closeout.md		Knot 1: Context Constitution - Closeout Report
general	plan	sot-2026-02-24-v29-domain-audit	docs/plans/2026-02-24-v29-domain-audit.md		HiveMind v2.9 Domain Audit Report
general	plan	sot-2026-02-28-hivefiver-meta-builder-requirement	docs/plans/2026-02-28-hivefiver-meta-builder-requirement.md		HiveFiver Meta-Builder Self-Audit & Revamp Requirements
general	plan	sot-hivemind-recovery-pack-options-2026-03-02	docs/plans/hivemind-recovery-pack-options-2026-03-02.md		Hivemind Recovery Pack (Plugin-Only) - Options and Recommended Path
general	plan	sot-2026-03-02-framework-upgrade-validated-plan	docs/plans/2026-03-02-framework-upgrade-validated-plan.md		Framework Upgrade — Validated Strategic Plan
general	plan	sot-dashboard-v2-phase8-w3-4-ownership-event-map-2026-02-26	docs/plans/dashboard-v2-phase8-w3-4-ownership-event-map-2026-02-26.md		Dashboard-v2 Phase 8 W3.4 Ownership and Event-Map Contract
general	plan	sot-2026-02-19-hivefiver-v2-verification	docs/plans/2026-02-19-hivefiver-v2-verification.md		HiveFiver v2 Verification Report
general	plan	sot-2026-02-25-hivemind-v3-consolidated-roadmap	docs/plans/2026-02-25-hivemind-v3-consolidated-roadmap.md		HiveMind v3.0 Consolidated Roadmap
R3	plan	sot-2026-03-02-gx-pack-r3-fix-schemas-plan	docs/plans/2026-03-02-gx-pack-R3-fix-schemas-plan.md		R3: Fix Schemas — Implementation Plan
general	plan	sot-2026-02-19-hivefiver-phase-6-gsd-ralph	docs/plans/2026-02-19-hivefiver-phase-6-gsd-ralph.md		HiveFiver Phase 6 - GSD and Ralph Compatibility
general	plan	sot-dashboard-v2-phase8-w3-execution-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w3-execution-packet-2026-02-26.md		Dashboard-v2 Phase 8 W3 Execution Packet
general	plan	sot-2026-02-19-hivefiver-phase-4-orchestration	docs/plans/2026-02-19-hivefiver-phase-4-orchestration.md		HiveFiver Phase 4 - Agent and Workflow Orchestration
general	plan	sot-2026-02-19-hivefiver-rollout-checklist	docs/plans/2026-02-19-hivefiver-rollout-checklist.md		HiveFiver Rollout Checklist
R3	plan	sot-hivemind-gx-context-schema-runtime-plan-2026-03-02	docs/plans/hivemind-gx-context-schema-runtime-plan-2026-03-02.md		Hivemind GX Context-Schema Runtime Plan (Plugin-Only)
general	plan	sot-2026-02-19-hivefiver-phase-3-skills	docs/plans/2026-02-19-hivefiver-phase-3-skills.md		HiveFiver Phase 3 - Skill Pack
general	plan	sot-2026-03-02-framework-upgrade-strategic-plan	docs/plans/2026-03-02-framework-upgrade-strategic-plan.md		Framework Upgrade Strategic Plan
general	plan	sot-dashboard-v2-phase8-w0-2-execution-packet-2026-02-26	docs/plans/dashboard-v2-phase8-w0-2-execution-packet-2026-02-26.md		Dashboard-v2 Phase 8 W0.2 Execution Packet
general	plan	sot-2026-02-17-phase-6-7-master-plan	docs/plans/2026-02-17-phase-6-7-master-plan.md		Phase 6-7 Master Plan: Test Suite Completion & IPC Bridge
general	spec	sot-spec-meta-builder-module-2026-03-01	docs/SPEC-META-BUILDER-MODULE-2026-03-01.md		HiveFiver Meta-Builder Module Specification
general	other	sot-opencode-concepts-advanced	docs/OPENCODE-CONCEPTS-ADVANCED.md		OPENCODE-CONCEPTS-ADVANCED.md
general	other	sot-injection-fix-plan-2026-02-16	docs/injection-fix-plan-2026-02-16.md		Injection Conflict Fix Plan
general	other	sot-sector2-migration-notes	docs/sector2-migration-notes.md		Sector-2 Migration Notes
general	other	sot-hivemind-framework-audit-criteria	docs/HIVEMIND-FRAMEWORK-AUDIT-CRITERIA.md		HIVEMIND Framework Audit & Realignment Guide
general	other	sot-sector2-skill-governance	docs/sector2-skill-governance.md		Sector-2 Skill Governance
general	other	sot-opencode-architecture-narrative	docs/OPENCODE-ARCHITECTURE-NARRATIVE.md		OPENCODE-ARCHITECTURE-NARRATIVE.md
general	other	sot-the-zero-event	docs/THE-ZERO-EVENT.md		THE ZERO EVENT — Strategic Planning Reference
general	other	sot-2026-02-25-audit-integration-document	docs/audit/2026-02-25-audit-integration-document.md		Audit Integration Document: v2.9 Plan Alignment
general	other	sot-2026-02-25-source-architecture-audit	docs/audit/2026-02-25-source-architecture-audit.md		Deep Source Architecture Audit Report
general	other	sot-opencode-deterministic-contex-agent-delegation	docs/OPENCODE-DETERMINISTIC-CONTEX-AGENT-DELEGATION.md		OPENCODE-DETERMINISTIC-CONTEX-AGENT-DELEGATION.md
general	other	sot-opencode-sdk-qa-deepwiki	docs/opencode-sdk-QA-deepwiki.md		DeepWiki Q&A with Code Context for Repository: anomalyco/opencode
general	other	sot-log-n-1	docs/log/log-n-1.md		Sector-2 Holistic Refactoring — Walkthrough
general	other	sot-log-n	docs/log/log-n.md		Sector-2 Holistic Refactoring — Walkthrough
general	other	sot-refactored-plan	docs/refactored-plan.md		HiveMind v3.0 — Relational Cognitive Engine Master Plan
general	other	sot-public-branch-policy	docs/public-branch-policy.md		Public Branch Policy
general	other	sot-sector2-diamond-architecture	docs/sector2-diamond-architecture.md		Sector-2 Diamond Architecture
general	other	sot-raw-version-refactor-for-v-29	docs/planning-draft/raw-version-refactor-for-v-29.md		refactor for .hivemind ver.2.9
general	other	sot-forming-the-own-framework	docs/planning-draft/forming-the-own-framework.md		forming-the-own-framework.md
general	other	sot-debug-ecosystem-guide-2026-02-17	docs/DEBUG-ECOSYSTEM-GUIDE-2026-02-17.md		OpenCode Debug Ecosystem - Comprehensive Implementation Guide
general	other	sot-opencode-knowledge-master-index	docs/OPENCODE-KNOWLEDGE-MASTER-INDEX.md		OpenCode Knowledge Master Index
general	spec	sot-spec-framework-refactor-v3-2026-03-01	docs/SPEC-FRAMEWORK-REFACTOR-V3-2026-03-01.md		SPEC: HiveMind Framework V3 Refactor
